reviews,cleaned_reviews,label
We order the vegetables every week and have never been disappointed. Great service. Would highly recommend. ,order vegetables every week never disappointed great service would highly recommend,0
Vegetable was very fresh and affordable price loved the experience I will always order from D-fresh ,vegetable fresh affordable price loved experience always order fresh,1
vegetables are totally fresh. mene first time order kia hai me buhat ziada satisfy hn. or delevry bhi buhat fast hai. sub bht acha hai. ,vegetables totally fresh meat first time order kia ziada satisfy delivery bhi buhat fast sub acha,0
good experience fresh vegetables and delivery at time. l always buy vegetables and fruit through dfresh ,good experience fresh vegetables delivery times l always buy vegetables fruit refresh,1
"I always received fresh vegetables and fruits on normal rate with good quality that's why I recommend to all my friends and relatives for buy from Daraz and they all are happy now.
Thanks Daraz Team
Asif Memon",I always received fresh vegetables fruits normal rate good quality recommend friends relatives buy daraz happy thanks daraz team asif memon,1
as usual fresh and nice but afsos ab shipping bhi add kar kay wohi rate ho gaye ....ab order karna mushkil ho raha hai...,usual fresh nice afsos shopping bhi car kay wohi rate order karma mushkil ho raha hai,1
"Received product according to the order, quality was very good. I am happy and satisfied to receive 1st order. I have already ordered the 2nd one which is 3 times than the 1sr order. Thank you Daraz, dFresh. ",received product according order quality good happy satisfied receive 1st order already ordered 2nd one 3 times 1sr order thank daraz fresh,1
all the vegetables were delivered fresh with proper packing!!! it's so cheap and economical and I'll InshaAllah buy it next time to! good value for money👍👍,vegetables delivered fresh proper packing cheap economical I inshaallah buy next time good value money,1
"product is excellent and as described, fresh vegetables are delivered on tym, nice packging, really worth buying, its so easy and comfortable to buy fruites and veggies from daraz as  i received them on my door step and less then market price and quality is excellent, love to shop from daraz😍😍👏👏👏😘",product excellent described fresh vegetables delivered nice packaging really worth buying easy comfortable buy fruits veggies daraz received door step less market price quality excellent love shop daraz,1
I've been using dfresh for months...always receive vegetables and fruits on time with great packing..and also the vegetables and fruits are premium quality..very satisfied,I using refresh months always receive vegetables fruits time great packing also vegetables fruits premium quality satisfied,1
Kamal ka hai ye dfresh walo ny sb item fresh or behtereeen services k sth awesome packaging b di or delivered b ek din me hi krdia order se..oper se market se rates b bht bht km.... . Hats off to u guys u deserve 1oo stars,kamal ka ye refresh walo side item fresh behtereeen services k awesome packaging b delivered ek krdia order opened market rates km hats guys deserve zoo stars,1
"good. i find all the items very good, economical and fresh. i recommend dFresh. good efforts done to supply fresh vegetables to customers at their doorstep. ",good find items good economical fresh recommend fresh good efforts done supply fresh vegetables customers doorstep,1
They are now delivering after two days. They have committed for next day delivery for orders before 11pm. Very bad experience now regarding delivery.,delivering two days committed next day delivery orders 11 pm bad experience regarding delivery,-1
"Very very addictive to buy from here..  there’s no one price Competitor of Daraz. Even in the Quality,really freshly delivered at my Door step. Too Much appreciation from top to Bottom  efforts of team and leaders ... you all are star seller.. well i feel total satisfaction in purchasing from here.. Blindly trusting you in future.. truly wrote everything...  👍👍👍",addictive buy one price competitor data even quality really freshly delivered door step much appreciation top bottom efforts team leaders star sellers well feel total satisfaction purchasing blindly trusting future truly wrote everything,1
"all the vegetables I ordered was very fresh, I will order
again from dmart nice packaging and quick delivery
thanks daraz 
",vegetables I ordered fresh order smart rice packaging quick delivery thanks daraz,1
"great experience in reasonable price with good quality, my family is very happy with your instant service",great experience reasonable price good quality family happy instant service,1
"Receive all the things (a little late), but in amazing quality and at better than market rates. Thumbs up, and keep up the good work!",receive things little late amazing quality better market rates thumbs keep good work,1
All vegetables are good fresh and at reasonable price with compare to our nearer market vegetables.,vegetables good fresh reasonable price compare nearer market vegetables,1
"Best product in very reasonable price.
Seller is highly recommended, best wishes with five stars!",best product reasonable price seller highly recommended best dishes five stars,1
"#HighlyRecommended
Very fresh vegetables in reasonable price,desirable quality, quick delivery.",highlyrecommended fresh vegetables reasonable price desirable quality quick delivery,1
it was not fresh... color b kharab ... n keery wali... rakhi h hai aisy hi.... i want refund,fresh color kharab keery wali rakhi taste want refund,0
"Big!
Fresh!
Authentic!
Premium!
Fast shipment!
Economical Price!",big fresh authentic premium fast shipment economical price,1
The product quality and packing was good. The product was fresh too. Excellent experience.,product quality packing good product fresh excellent experience,1
fresh vegitables and order is little bit late but still good service thanks dfresh daraz,fresh vegetables order little bit late still good service thanks fresh daraz,1
"fresh vegetables, fruits and eggs,
better than market 
thanks daraz",fresh vegetables fruits eggs better market thanks daraz,1
"Every time i got FRESH VEGETABLES with cheap price from. 
Thanks & Keep it up DARAZ.",every time I got fresh vegetables cheap prices thanks keep daraz,1
Simply the best. Original products. Highly recommended. Five stars and best wishes ,simply best original products highly recommended five stars best dishes,1
"excellent quality vegetables very fresh perfectly packed and timely delivered 

",excellent quality vegetables fresh perfectly packed timely delivered,1
Some reason I can't took a photo but vegetable are very fresh highly recommend,reason take photo vegetables fresh highly recommend,1
I received 1 big flower. Not satisfied as big flowers are not good in taste. ,I received 1 big flower satisfied big flowers good taste,-1
"all vegetables  are fresh and good ...
but you forgot  to give cauliflower  ",vegetables fresh good forgot give cauliflower,1
very bed experience low quality cabbage  next time I don't use darz d fresh,bad experience low quality cabbage next time use darz fresh,-1
Using dfresh mart since april'20  every time  they delivered  fresh items ,using fresh mart since april 20 every time delivered fresh items,0
size is small and price is high from the market kindly reduce the price ,size small price high market kindly reduce price,1
Good service by daraz timely delivery and all subzi are very fresh👌👌👌,good service data timely delivery subzi fresh,1
Very fresh product is delivered. Packaging was very nice. Recommended. ,fresh produce delivered packaging nice recommended,1
all items are fresh but I ordered 1 kg of cabbage and received 1/2 kg.,items fresh ordered 1 kg cabbage received 1 2 kg,0
it's in a very reasonable price less than market rate wow great daraz,reasonable price less market rate great data,1
Well packed.. quick delivery.. quality is also good.. fresh ek dam.. ,well packed quick delivery quality also good fresh ek dam,1
"Fresh and clean cabbage, neatly packed, delivery was on time, thanks",fresh clean cabbage neatly packed delivery time thanks,1
delivered as shown in pictures. very good quality. highly satisfied,delivered shown pictures good quality highly satisfied,1
Great product. Cabbages at grade B were fresh and of good quality. ,great product cabbages grade b fresh good quality,1
great service fresh vegetable. ,great service fresh vegetable,1
"it's just amazing. totally setisfied💕
thank u daraz and seller.",amazing totally satisfied thank daraz seller,1
"it's just amazing. totally setisfied💕
thank u daraz and seller.",amazing totally satisfied thank daraz seller,1
"it's just amazing. totally setisfied💕
thank u daraz and seller.",amazing totally satisfied thank daraz seller,1
on time &  one good thing that the vegs were clean and fresh.. ,time one good thing veg clean fresh,1
"Fresh and good quality vegetables
Delivery is also very quick",fresh good quality vegetables delivery also quick,1
Band  gobhi is also good quality that's quality we required,band gobhi also good quality quality required,1
Very good quality of vegetables and fruits as always 👌🏻 ,good quality vegetables fruits always,1
Average not green color.  It was found with pale color. ,average green color found pale color,0
the qulity was too good...and the packing is also good.,quality good packing also good,1
Simply the best. Original products. Highly recommended. Five stars and best wishes ,simply best original products highly recommended five stars best dishes,1
VERY CHEAP PRICE AND GREAT QUALITY ( FRESH AND CRISPY),cheap prices great quality fresh crispy,1
Good quality and next day delivery.  Will order again.,good quality next day delivery order,1
Good service delivered on time with reasonable price.,good service delivered time reasonable prices,1
delivery on time ...Fresh vegetables thank you daraz,delivery time fresh vegetables thank daraz,1
Price is quite fair as compare to the  local vendor.,price quite fair compared local vendor,1
weight me km thy 3 kg ka order kiya tha or 2 kg mily,weight km 3 kg ka order kiya 2 kg milk,0
Very well packed n' fresh as always... keep it up!!,well packed fresh always keep,1
Fresh fast delivery with good discount from market,fresh fast delivery good discounts market,1
very good quality. very fresh. satisfied as always,good quality fresh satisfied always,1
awsm quality and timely delivery.. happy customer,warm quality timely delivery happy customer,1
dFresh is always fresh..... keep up the good work,refresh always fresh keep good work,1
got fresh veg and fruit from the seller... thanks,got fresh veg fruit seller thanks,1
"fresh vegetables I love them 
highly recommended ",fresh vegetables love highly recommended,1
Quality is good but sometimes comes under weight.,quality good sometimes comes weight,0
Very impressive quality and fresh in good price.,impressive quality fresh good price,1
"timely delivered ...fresh ...
highly recommended",timely delivered fresh highly recommended,0
Always received fresh. :) :) :) :) :) with *****,always received fresh,1
"Thanks, well packed, fresh and quality product.",thanks well packed fresh quality products,1
very bad quality too disappointed expensive. .,bad quality disappointed expensive,-1
"very bad Cabbage 
this time all were not green",bad cabbage time green,-1
"Best quality
delivered on time.
fresh product.",best quality delivered time fresh product,1
"very good quality and fresh, hamesha ki tarah.",good quality fresh hamesha ski tarah,1
Thanks for providing the fresh product on time,thanks providing fresh produce time,1
"sub bohat acha hai,but Hari mirch missing hai",sub bohat acha hair much missing hair,0
charge money for 2kg tomatoes but didn't send,charge money 2 kg tomatoes send,0
"quality is good
vegetables are fresh
like it",quality good vegetables fresh like,1
All veg were fresh and delivery was on time.,veg fresh delivery time,0
All vegetables are fresh and good quality ,vegetables fresh good quality,1
price is low from market with good quality,price low market good quality,0
fresh vegetables with really good prices,fresh vegetables really good prices,1
"best quality, superb , delivered on time",best quality superb delivered time,1
as good as always fresh and good quality,good always fresh good quality,1
best product thank you seller & daraz,best product thank seller daraz,1
Achi Hn delivery bhi time se mil gae,achieve delivery time mill gave,0
Amazing quality and premium product ,amazing quality premium product,1
All vegetables are very nice n fresh,vegetables nice fresh,1
"
good quality and excellent services",good quality excellent services,1
High n best quality in lesser rates ,high best quality lesser rates,1
"Good product, satisfied with quality",good product satisfied quality,1
good and fresh and on time delivery,good fresh time delivery,1
"The product was good, as described.",product good described,1
Fresh and fast delivery by daraz. ,fresh fast delivery daraz,0
Awesome vegetables and fresh items,awesome vegetables fresh items,1
perfect and fresh all thanks daraz,perfect fresh thanks daraz,1
"Fresh product,  excellent service ",fresh produce excellent service,1
delivery on time with nice product,delivery time nice product,1
Excellent service and good quality,excellent service good quality,1
Fresh and fast delivery by daraz ,fresh fast delivery daraz,0
good quality service and quality ,good quality service quality,1
Recommended but too late delivery,recommended late delivery,0
bnd gobi bht hi achi ti fresh ti,gobi achieve fresh,0
"Delivered fresh and clean, nice.",delivered fresh clean rice,1
overall very very bad experience,overall bad experience,-1
green green fresh fresh Cabbage,green green fresh fresh cabbage,1
excellent quality nicely packed,excellent quality nicely packed,1
everything is perfact and fresh,everything perfect fresh,0
Fresh vegetables and economical,fresh vegetables economical,0
Fresh veggies delivery on time,fresh veggies delivery time,0
Always fresh and nicely packed,always fresh nicely packed,1
REst everything is ok and good,rest everything ok good,1
boht boht zbardast .very nice,zbardast nice,1
fresh vegetables recommended ,fresh vegetables recommended,1
buht kum paison me achi chez.,gum poison achi chez,0
"perfect as usual, full marks",perfect usual full marks,1
fresh and very good overall.,fresh good overall,1
fresh fresh fresh cabbage 🥬,fresh fresh fresh cabbage,1
This has NOT been delivered ,delivered,0
fresh cabbage.. thanks daraz,fresh cabbage thanks daraz,1
"Good quality, fast delivery.",good quality fast delivery,1
very fresh on time delivery,fresh time delivery,1
Thanks for such fresh veges,thanks fresh veggies,1
Very nice n fresh veggies ,nice fresh veggies,1
neat and clean vegetables,neat clean vegetables,1
fresh and timely delivery,fresh timely delivery,0
veg always good and fresh,veg always good fresh,1
Fresh and delver on time,fresh delivery time,0
Full fresh every thing's,full fresh every thing,0
Very nice. best quality.,nice best quality,1
fresh n timely delivery,fresh timely delivery,0
"very good, perfect buy",good perfect,1
 Awesome and recommend,awesome recommend,1
Fresh and with healthy,fresh healthy,1
Love it . . . Thanks!!,love thanks,1
nice quality and fresh,nice quality fresh,1
very nice good quality,nice good quality,1
fresh and good quailty,fresh good quality,1
Old good experience ,old good experience,1
fresh neat n clean..,fresh meat clean,1
Excited very Good 😁,excited good,1
"Buy it!
Good quality",buy good quality,1
totally recommended ,totally recommended,0
Everything was good,everything good,1
good qualitym frezh,good quality fresh,1
received and happy,received happy,1
Cabbage was rotten,cabbage rotten,-1
Cabbage was rotten,cabbage rotten,-1
this not good 👎🏼,good,-1
Very  bad quality ,bad quality,-1
good and fresh all,good fresh,1
totally satisfied,totally satisfied,1
fresh like always,fresh like always,1
veyfresh cabbage ,refresh cabbage,0
it was very fresh,fresh,1
fresh and cheaper,fresh cheaper,0
nice fresh items,nice fresh items,1
"very good, fresh",good fresh,1
great and clean,great clean,1
fresh recieved,fresh received,0
Fresh & green ,fresh green,0
Fresh received,fresh received,0
Good quality ,good quality,1
Good quality ,good quality,1
same as above,,0
best as usual,best usual,1
fresh product,fresh produce,0
good quality ,good quality,1
Good products,good products,1
all are fresh,fresh,0
good quality ,good quality,1
fresh product,fresh produce,0
Good quality ,good quality,1
best quality,best quality,1
good quality,good quality,1
always fesh,always fresh,0
fresh....👌,fresh,0
Not fresh ,fresh,0
not fresh,fresh,0
Fresh ,fresh,0
Fresh ,fresh,0
fresh,fresh,0
fresh,fresh,0
fresh,fresh,0
fresh,fresh,0
fresh,fresh,0
fresh,fresh,0
Fresh,fresh,0
"very good quality for its price
i will be buying it again",good quality price I buying,1
Poor quality products provided bad experience…..,poor quality products provided bad experience,-1
thanks. nice quality. saamas shown in picture. ,thanks nice quality saamas shown picture,1
good buy for an economical price,good buy economical price,1
average quality!,average quality,0
"Experience was fine. The product was same as shown in the advertised image. Product (Battle Plane) Quality was not up to the mark. Price was a bit high. Satisfied with patience.
Thank you so much Daraz for the great service.",experience fine product shown advertised image product battle plane quality mark price bit high satisfied patience thank much daraz great service,1
mene first time daraz use kiya hai it's amazing and i hope next time bh kch mangwao gi tw same or acha hi aye ga ,mene first time daraz use kiya hai amazing hope next time mangwao go tw acha hi go,1
Excellent toys in this price. kids like playing with it. Satisfied!,excellent toys priced kids like playing satisfied,1
Good quality although the wheel of one plan is not working but overall stuff is good. i will recommend.,good quality although wheel plan working overall stuff good recommend,1
this is my second order or this beautiful toy.... my children happy to have it... thanku daraz,second order beautiful toy children happy thanks daraz,1
"fast delivery, excellent and awesome product in this reasonable price. thanks seller. ",fast delivery excellent awesome product reasonable price thanks seller,1
Recomended it works properly.❤ the size is kinda small but in this price its good,recommended works properly size kinda small price good,1
"very nicely packed..
deliver on time
best gift for childern according to price 👍",nicely packed delivery time best gift children according price,1
A very good thing in this price and it a excellent toy for playing,good thing price excellent toy playing,1
"Smaller size than expected, but kid is very happy so works for me.",smaller size expected kid happy works,1
Shooter is just a piece of plastic with nothing on it to shoot the planes. Claiming a return. ,shooter piece plastic nothing shoot planes claiming return,-1
"small size, poor quality , plan don't move properly .",small size poor quality plans move properly,-1
my daughter like these plans. bht zabardast hain. recommend this seller. thanks daraz,daughter like plans zabardast recommend seller thanks daraz,1
"Fast delivery,same as shown in pic.
Satisfied with product.
Thanks to Daraz 😍",fast delivery shown pigs satisfied product thanks data,1
Recommended especially in this price 👌,recommended especially price,0
It's amazing. Good quality in this price. Highly recommend it. Thanks ,amazing good quality price highly recommend thanks,1
recieved what is shown in picture. packaging it came in got worn off little. but it doesn't matter for this price,received shown picture packaging came got worn little matter price,0
"Nice toys planes at very cheap price. Quite rigged too. My sons loved those as too easy to play for a 3 years old.
Seller delivered to it's promise as the product came in very good and secure packaging and delivered in timely manner. Thanks Daraz",nice toy planes cheap prices quite rigged sons loved easy play 3 years old seller delivered promise product came good secure packaging delivered timely manner thanks data,1
very good in this price,good price,1
toy is so good but too small no problem my boys love 'em,toy good small problem boys love,1
"Great. But easily breakable. Anyways, fare in this price",great easily breakable anyways fare price,1
in this price ok hai,price high,0
Very enjoyable 😀.Good looking and good quality.,enjoyable good looking good quality,1
Very small in size… nd material is very poor,small size material poor,-1
good product in this price trusted seller ,good product price trusted seller,1
Child is happy nice product thnx daraz🤗🤗very shorter in size but its ok ,child happy nice product things data shorter size ok,1
acha product hai but thora mahnga hai,product thora mahnga,0
"It's amazing 😍 children loved it ❤️❤️ these aeroplanes are Soo cute 😊😊😊 really like it ,thanks seller 😇 recommended product 👌 love Daraz 💕",amazing children loved aeroplanes cute really like thanks sellers recommended product love daraz,1
Good same like shown in picture,good like shown pictures,1
good product as shown in pic,good product shown pic,1
Low quality . Broke in just 4 times use on very first day . ,low quality broke 4 times use every first day,-1
"aeroplane are small, but good in this price.
",aeroplanes small good price,1
"Packing was enough, planes not as pics and colour were smuged.
But beautiful and exceptionally working in this price",packing enough planes pink colour smuggled beautiful exceptionally working price,1
Very bad. Please dont buy this,bad please do nt buy,0
bohat achay Airplane ha sa,achay airplane,1
best products  thank u ,best products thank,1
good hy is  price me,good price,1
my experience is sooo good thank you so much aa and seller men paking timing soo good balky time sy pehly agya Mera order mujh sy zyada Mera son bohat khush hy,experience soooo good thank much seller men packing timing good balky time pehly agya mera order much say zyada mera son khush,1
"Its awesome with the discount🤩, fast delivery🤩, Good Quality✔️, Same as mentioned✔️ Seller recommended✔️👍🏻",awesome discount fast delivery food quality mentioned seller recommended,1
GOOD PACKING BUT MATERIEl IS VERY POOR MY CHILD USE TWICE AND AFTER JACK IS LOSE AND NOT TO BE USED NOW THIS PRODUCT IN MARKET IS ONLY IN 80 TO 100 AND THIS SELLER SELL IN 190 SHOCKING ,good packing material poor child use twice jack lost used product market 80 100 seller sells 190 shocking,-1
Loved the product. It is exactly as shown in the images. Delivery was in time. Thank you seller and Daraz.,loved product exactly shown images delivery time thank sellers data,1
It’s a faulty one. Cheating even in Ramadan. Not at all recommended for any sort of dealing. Very much disappointed. I would like a refund or replacement of the toy. ,faulty one cheating even decades recommended sort dealing much disappointed I would like refund replacement toy,-1
it looks like daraz is full of paid reviewers. they review anything they are paid for. the pakage i received is over priced even after seller  gave a discount .planes tyres even dont rotate.,looks like data full paid reviewers review anything paid package received priced even sellers gave discount plan tyres even do nt rotate,1
"😥🤤😲😠😡bht hi cheap toy hy, ghulail ka third class raplica 🤣,even 2 days BHI ni chala, money waisted ",cheap toy ghulail la third class replica even 2 days bhi khaki money wasted,0
"Quality is not very good, but I am happy because my son played with it a lots. now he finished it as well!",quality good I happy son played lot finished well,1
"Very Nice Aeroplanes, My Son is very happy with these beautiful Aeroplanes , Thank You So Much, Giving You 5 Stars. ",nice aeroplanes son happy beautiful aeroplanes thank much giving 5 stars,1
I ordered the product and what I got stupid small planes which are available in market about 60 ruppess and the seller charge me 200 not smart as shown in pics by the seller stupid quality don't buy ,I ordered product got stupid small planes available market 60 rupees seller charge 200 smart shown pics seller stupid quality buy,-1
"Very poor thing, quality poor ...
finger size toys with very low quality plastic. 
I want my money return. ",poor thing quality poor finger size toys low quality plastic want money return,-1
bht ziada expensive I found it only for 160 in doller shop mjy tab bht afsos hua nd this thing is very very small,ziada expensive found 160 dollar shop may tab afsos thing small,0
safely puhanch gaey hn.. but bht chote hn or quality bt poor hy... or quality k hisaab se bht expensive h,safely purchase grey chote quality poor joy quality k husband expensive,-1
Decent product. I used there was a spring instead of rubber band for launch though. Good for the price,decent product I used spring instead rubber band launch though good price,1
Got the items the kids loved it the ejector was broken within 2 days but then again the kids were throwing it here and there overall satisfied with the order and sorry for the late review :D,got items kids loved ejector broken within 2 days kids throwing overall satisfied order sorry late review,1
"Product is good kids really enjoy it,  plane fire stand quality lite bit poor but overall product is good in this price.
thanks for same item what we ordered ",product good kids really enjoy plain fire stand quality little poor overall product good price thanks item ordered,1
"Bht cute hein plane,  2 pack order kiye thy,  same aye hein work bhi ker rhy hein,  thank you 💕 ",cute hein plain 2 pack order like I work car thank,1
"same as in picture
received in time
packing is a little bit damage but kids are happy wth product",pictures received time packing little bit damaged kids happy product,0
"very very small toyes,  its not greater then to finger size. very cheep quality. advice donot buy",small ones greater finger size cheap quality advice done buy,0
The packaging was too good. and the quality of material is superb. My brother like it alot.,packaging good quality material superb brother like alot,1
Its very small compare to the displayed image... And material is very low quality ,small compare displayed image material low quality,-1
picture Sy bilkul alag hain... boht choty plane hain..kindly change your picture,picture bilkul flag chain choty plans kindly change picture,0
shooter does not work as it is like pushing the jet manually. not recommended,shooter work like pushing jet manually recommended,0
product was okay but not as good as shown in picture ... quite fragile ... ,product okay good shown pictures quite fragile,-1
best quality kamal hogya thnx sab mangwao thnx to store also for best thing,best quality kamal hogya things mangwao tend store also best thing,1
Pretty good. First time order from this seller. Same as shown in pictures. ,pretty good first time order seller came shown pictures,1
"bettter quality, but size is small. 
overall etny payson mai bohat achi hy",better quality size small overall person may boats achieve,0
"I expected better quality, other than that it was timely delivered.",I expected better quality timely delivered,1
"Excellent entertainment for kids👍
Thanks for the fast delivery.",excellent entertainment kids thanks fast delivery,1
Size is bit smaller than expected but kids still like them.,size bit smaller expected kids still like,1
Very poor quality. Not recommended at all. Waste of money. ,poor quality recommended waste money,-1
"To small, no spring but a rubber elastic to shot/ launch.",small spring rubber elastic shot launch,0
"Nice Toy, Kids love this ... although size is very small ",nice toy kids love although size small,1
nice quality packaging b achi thi but thora late mila ,nice quality packaging achi late mill,0
"My little one happy by playing this plane.
Satisfied ",little one happy playing place satisfied,1
My Kid Love it. Quality is sound and price is right,kid loves quality sound price right,1
Good as always in this price range. JazakAllah 👍,good always price range jazakallah,1
Very small and low quality plastic cheap material,small low quality plastic cheap material,-1
Nice one. Plans small small. Delivery on time. ,nice one plans small small delivery time,1
"Low quality, broke within a day, not recommend ",low quality broke within day recommend,-1
not good purchase. they put rubber band inside.,good purchase put rubber bands inside,-1
Hmm Good h bt buht choty ty Pic m big lgrhy ty,good bit choty pick big lgrhy,1
the plane is very small compared to the price,plane small compared price,0
Recommended.! Good quality Authentic product.,recommended good quality authentic products,1
"Thanks Daraz Original Product A 1 Quality
",thanks daraz original product 1 quality,1
good entertainment for kids in this price,good entertainment kids price,1
"Same product recieved advertised
.Thanks",product received advertised thanks,1
Very nice item. My kid is enjoying it. ,nice item kid enjoying,1
"It was good
It is really good for kids ",good really good kids,1
"it was good
but quality should be more",good quality,0
Loved the quality. My child loves it,loved quality child loves,1
Product not as shown in the picture,product shown picture,0
"i lyk it...nd gud quality 
thanks ",I like good quality thanks,1
Very bad quality.  Don't buy this,bad quality buy,-1
Good product in this price range ,good product price range,1
As shown in picture.. Nice toy. ,shown picture nice toy,1
acha h bs quality thori local h,acha quality third local,0
Thanks for such a good product ,thanks good product,1
"50 50 
not work properly but ok",50 50 work properly,1
"packing is good .
satisfied .",packing good satisfied,1
Satisfactory for this price. ,satisfactory price,1
Satisfied with the Quality.,satisfied quality,1
Good quality in this price ,good quality price,1
Nice product.  Kids love it,nice product kids love,1
thanks 👍👍👍 good product,thanks good product,1
poor thing. dont buy this,poor thing do nt buy,-1
It's good but not so good,good good,1
awesome toy in this price,awesome toy price,1
good toys in cheap price,good toys cheap prices,1
damaged toy send kiy hn ,damaged toy send key,-1
Good one for small kids,good one small kids,1
good toy but too small,good toy small,0
"
happy with this price",happy price,1
nice toy in this price,nice toy price,1
good toy in this price,good toy price,1
Good but poor quality ,good poor quality,-1
same as in picture 👍,pictures,0
quality is not good ,quality good,-1
just waste of money ,waste money,-1
same as discraibed. ,described,0
Size is too small ,size small,0
Nice in this price,nice price,1
its a useless toy.,useless toy,-1
Good as described,good described,1
my kids loved it!,kids loved,1
not good quality,good quality,-1
it's simple toy ,It simple toy,0
totally froud ,totally froud,0
superb toy 😍,superb toy,1
nice 👍 product.... fantastic thing...safe for baby.... amazing thank daraz ...may Allah give you more success...,nice product fantastic thing safe baby amazing thank daraz may also give success,1
"amazing for Infants,very helpful thing for moms, do order guys without any fear, whole brush is made up of silicone which cannot hurt baby gums. thanks daraz will shop again",amazing infants helpful thing moms order guys without fear brush made silicone hurt baby gums thanks daraz shop,1
"very good quality, original product and clean dust free.",good quality original product clean dust free,1
"good experience nice product
thankx daraz and seller
😍😍😍😍😍😍😍😘",good experience nice products thanks daraz seller,1
finger brush boht zaberdast h me ne kid ko use krva k dekha h boht soft h highly recommend...,finger brush zaberdast one kind use krva k dekha soft highly recommend,0
Received same as shown in pictures.. Very useful ,received shown pictures useful,1
good product in this price.  recommend .,good products price recommend,1
very soft good for children recommended,soft food children recommended,1
Good quality in fair price. Recommended,good quality fair price recommended,1
"Amazing, will shop again",amazing show,1
the product is gorgeious and best for child teeth protection.recommended from this seller,product gorgeous best child teeth protection recommended seller,1
it is an amazing product same to same as seen in picture thankyou daraz..,amazing product came seen picture thankyou daraz,1
"Same as pic... Good quality... 
recommended.... 
Totally satisfied",pick good quality recommended totally satisfied,1
Best quality ..... same as picture... i am satisfied thank u draz,best quality picture satisfied thank draz,1
"- Too good for toddlers 👍
Highly recommended ..",good toddlers highly recommended,1
Ordered it for my dogs. Would work for kids too,ordered dogs would work kids,0
Owsm bht acha h I'm so happy thenx Daraz 😘,owsm acha happy daraz,1
very nice and soft brush at very low cost..,nice soft brush low cost,0
"Its nice product i am satisfied. 
Thanks ",nice product I satisfied thanks,1
best quality awsome brush my baby happy ,best quality awesome brush baby happy,1
it is nice and easy to use for babies ,nice easy use babies,1
my baby enjoying thanks  daraz,baby enjoying thanks daraz,1
As good as I expected. ,good expected,1
Comfortable and cozy...good for winter. Same as shown in pictures and discripted. Recommended!! ,comfortable cozy food winter shown pictures described recommended,1
"Superb Quality, warm .. best for winter. received on time.. Recommended...!!!",superb quality warm butter winter received time recommended,1
very nice same as shown and very comfortable in winters. Thanks,nice shown comfortable winters thanks,1
it's soo amazing and good for kids I love with them and love packings and fast delivery my brother Ahmed is love with them,amazing good kids I love love packing fast delivery brother aged love,1
wawoooo i really like it thanks daraz thanks to seller i just love it..🥰🥰🥰🥰🥰,wawoooo really like thanks daraz thanks sellers love,1
Good quality like it,good quality like,1
"Good quality product ... Got the same colour as ordered ... thanks , Highly recommended !!!
",good quality products got colour ordered thanks highly recommended,1
"Huge difference in shown picture and physical,  received timely but quality is poor , ",huge difference shown picture physical received timely quality poor,-1
Its cut but  too small  and it contains very low water. Waste of money y  ,cut small contains low water waste money,-1
Received the same as shown in the pic. Good quality mug. Thankyou seller,received shown pic good quality mug thankyou seller,1
Wonderful quality and very attractive for baby. ,wonderful quality attractive baby,1
good quality baby enjoy it thanks for this ☺️,good quality baby enjoy thanks,1
mug size to much small,mug size much small,0
god quality plastic,good quality plastic,0
Amazing thanks ☺️,amazing thanks,1
Products quality is beyond my expectations. all units were properly bubble wrapped . seller is very nice and friendly. delivery was fast . I am 100% satisfied with the quality of products and services. thanks will definitely shop again.,products quality beyond expectations units properly bubble wrapped seller nice friendly delivery fast 100 satisfied quality products services thanks definitely shop,1
well packed not use but hope so result will be good  low budget cost thanks after try this order more inshallah,well packed used hope result good low budget cost thanks try order inshallah,1
i ordered these four oils. seriously the products was delivered in just 5 days and product delivered original. that's why i take 5 star to this sells team obviously i recommend it for everyone so everyone can buy it from here ,I ordered four oils seriously products delivered 5 days products delivered original take 5 steps sales team obviously recommend everyone everyone buy,1
excellent product great results.definitly recommended.,excellent product great results definitely recommended,1
nice packing same as pic & thanks daraz,nice packing pick thanks daraz,1
same as shown in picture premium quality products i love the packaging 100 percent organic and fresh will buy again from u thank u daraz.,shown picture premium quality products love packaging 100 percent organic fresh buy thank daraz,1
"tamam products ki quality outclass ha 💯 percent satisfied will buy again and again thanks 😊 for providing good quality products in reasonable price keep up the good work. kindly 100 ml ki packaging bhi introduce krwa dein oils me aur herbs me 200 grams ki packaging thanks alot ,👍👍❤️👌👌👌",tamam products ski quality outclass percent satisfied buy thanks providing good quality products reasonable price keep good work kindly 100 ml ski packaging introduce krwa oils four herbs 200 grams ski packaging thanks alot,1
products ki quality mujhay bahut Pasand ayi ha packaging aur quality dono behtareen .,products ski quality mujhay peasant ayi packaging quality done,1
wonderful store tamam products premium quality he will buy again thanks olim naturals,wonderful store tamam products premium quality buy thanks naturals,1
"buhat achi quality he munasib qeemat pr will shop again thanks seller ❤️👍👍,🥰",achi quality munasib qeemat shop thanks seller,1
I am 100percent satisfied with the quality of oil and herbs,I 100percent satisfied quality oil herbs,1
Oils are good. Will review on my YouTube channel ,oils good review youtube channel,1
timely delieverd fair price branded product.,timely delivered fair price branded products,0
pure and high quality. excellent products.,pure high quality excellent products,1
best quality highly recommend,best quality highly recommend,1
